[2025-09-09 15:29:40] INFO     | 🚀 Evaluation started | Config: ../configs/salila_config_hf_debug.yaml
[2025-09-09 15:29:40] INFO     | 正在加载嵌入模型...
[2025-09-09 15:29:40] INFO     | Use pytorch device_name: cpu
[2025-09-09 15:29:40] INFO     | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[2025-09-09 15:29:40] DEBUG    | Starting new HTTPS connection (1): huggingface.co:443
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
[2025-09-09 15:29:41] DEBUG    | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
[2025-09-09 15:29:42] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
[2025-09-09 15:29:42] DEBUG    | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0
[2025-09-09 15:29:42] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
[2025-09-09 15:29:42] DEBUG    | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
[2025-09-09 15:29:42] DEBUG    | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
